Neighbourhood,1 Homicide,2a Assault - FV,2b Assault - Non-FV,3 Sexual Assault,4 Other offences against a person,5a Robbery - armed,5b Robbery - other,6a Burglary dwellings,6b Burglary shops,6c Burglary other,7 Motor vehicle theft,8 Property damage,9 Other offences,91a TINs Speeding,91b TINs Mobile Use,91c TINs Seatbelts,91d TINs Other,92 Theft (excluding Motor Vehicles),93 CINs
RIVETT,0,5,8,1,3,1,0,13,0,2,6,33,48,0,0,0,10,37,0
STIRLING,0,6,6,3,0,0,1,15,0,1,2,20,24,0,0,0,10,28,0
STROMLO,0,2,1,1,0,0,0,1,0,0,3,7,51,64,0,1,40,12,0
WARAMANGA,0,2,5,2,1,0,0,5,1,1,4,31,29,0,0,0,18,24,0
WESTON,0,5,14,5,2,0,0,5,3,4,5,37,115,9,0,3,67,84,0
COOMBS,0,11,4,1,0,0,0,17,1,1,14,36,52,9,0,0,22,48,0
DENMAN PROSPECT,0,5,6,0,2,0,0,7,0,1,3,10,32,22,0,0,26,17,0
MOLONGLO,0,0,1,0,0,0,0,0,0,0,0,0,9,10,0,0,1,0,0
WRIGHT,0,4,0,0,3,0,0,6,0,1,6,41,24,12,0,2,23,52,0
CHIFLEY,0,9,4,5,2,0,0,5,0,1,3,22,41,9,0,1,11,29,0
CURTIN,0,8,8,6,6,3,1,10,4,3,15,47,65,105,0,1,128,70,0
FARRER,0,3,6,6,1,1,0,8,1,2,4,21,22,1,0,0,16,24,0
GARRAN,2,11,55,8,2,1,0,17,0,3,15,39,79,1,0,1,19,65,0
HUGHES,0,0,3,1,4,0,1,8,4,2,7,16,19,3,0,0,9,28,0
ISAACS,0,4,0,1,0,1,0,6,1,1,2,8,17,4,0,0,12,9,0
LYONS,0,15,6,4,1,1,1,12,0,3,8,49,51,0,0,0,24,44,0
MAWSON,0,6,10,1,1,2,1,9,4,3,10,47,89,0,0,1,15,119,0
O'MALLEY,0,1,0,0,0,1,0,0,0,0,3,2,12,0,0,0,9,2,0
PEARCE,1,4,16,12,3,0,1,4,3,2,6,20,26,0,0,0,3,27,0
PHILLIP,0,12,55,9,3,1,6,8,16,22,37,158,320,4,0,3,93,308,1
TORRENS,0,6,1,0,2,1,0,6,3,0,2,18,19,1,0,0,2,25,0
BANKS,0,14,6,2,5,1,1,4,1,2,5,25,70,0,0,0,18,18,0
BONYTHON,0,12,8,3,3,0,0,11,0,4,6,38,38,6,0,0,39,22,0
CALWELL,0,21,15,1,5,0,0,15,6,4,10,41,182,1,0,1,29,85,0
CHISHOLM,0,22,18,2,6,2,0,16,5,2,20,40,144,4,0,0,24,48,1
CONDER,0,12,17,7,3,1,2,17,4,3,8,39,119,2,0,3,21,41,0
FADDEN,0,1,1,0,2,0,0,4,0,1,2,17,23,9,0,1,10,16,0
GILMORE,0,16,6,2,5,0,0,8,0,1,3,26,75,4,0,0,31,11,0
GORDON,0,21,5,11,4,1,1,11,0,0,7,37,116,4,0,0,39,32,0
GOWRIE,0,5,6,4,4,0,1,8,3,8,7,19,57,0,0,0,24,29,0
GREENWAY,0,27,62,8,9,2,5,10,10,12,23,128,382,6,0,2,137,235,0
ISABELLA PLAINS,0,16,9,3,2,0,1,12,0,3,13,21,107,4,0,2,41,32,0
KAMBAH,0,35,39,8,9,6,9,56,8,15,41,137,533,19,0,4,184,200,0
MACARTHUR,0,3,1,1,0,0,0,1,0,1,2,6,12,4,0,1,4,3,0
MONASH,0,11,9,13,3,0,1,11,4,5,15,24,70,2,0,0,22,49,0
OXLEY,0,1,3,3,0,0,0,4,0,0,4,13,35,2,0,0,22,16,0
RICHARDSON,0,28,5,1,5,0,2,12,3,1,6,29,80,1,0,0,24,30,0
THEODORE,1,7,7,1,0,0,0,10,0,0,9,25,52,2,0,0,7,37,0
WANNIASSA,0,38,37,22,9,4,3,20,17,2,28,74,210,8,0,3,56,179,0
HUME,1,1,41,0,1,0,0,0,11,13,15,24,110,54,0,2,79,45,0
THARWA,0,3,0,0,0,0,0,0,0,0,2,3,13,0,0,0,0,1,0
URIARRA,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,0
WILLIAMSDALE,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,1,0
